source,target,source_type,target_type,edge_type
FG_165,PYO_01,functional_group,pyoverdine,production
FG_167,PYO_02,functional_group,pyoverdine,production
FG_174,PYO_03,functional_group,pyoverdine,production
FG_044,PYO_04,functional_group,pyoverdine,production
FG_048,PYO_04,functional_group,pyoverdine,production
FG_050,PYO_05,functional_group,pyoverdine,production
FG_052,PYO_06,functional_group,pyoverdine,production
FG_053,PYO_07,functional_group,pyoverdine,production
FG_054,PYO_08,functional_group,pyoverdine,production
FG_055,PYO_08,functional_group,pyoverdine,production
FG_056,PYO_09,functional_group,pyoverdine,production
FG_057,PYO_10,functional_group,pyoverdine,production
FG_058,PYO_11,functional_group,pyoverdine,production
FG_067,PYO_12,functional_group,pyoverdine,production
FG_068,PYO_12,functional_group,pyoverdine,production
FG_069,PYO_12,functional_group,pyoverdine,production
FG_070,PYO_12,functional_group,pyoverdine,production
FG_071,PYO_13,functional_group,pyoverdine,production
FG_072,PYO_13,functional_group,pyoverdine,production
FG_073,PYO_13,functional_group,pyoverdine,production
FG_074,PYO_13,functional_group,pyoverdine,production
FG_075,PYO_13,functional_group,pyoverdine,production
FG_077,PYO_13,functional_group,pyoverdine,production
FG_078,PYO_13,functional_group,pyoverdine,production
FG_079,PYO_13,functional_group,pyoverdine,production
FG_080,PYO_13,functional_group,pyoverdine,production
FG_081,PYO_13,functional_group,pyoverdine,production
FG_082,PYO_13,functional_group,pyoverdine,production
FG_083,PYO_13,functional_group,pyoverdine,production
FG_104,PYO_14,functional_group,pyoverdine,production
FG_105,PYO_15,functional_group,pyoverdine,production
FG_106,PYO_16,functional_group,pyoverdine,production
FG_107,PYO_16,functional_group,pyoverdine,production
FG_108,PYO_17,functional_group,pyoverdine,production
FG_109,PYO_18,functional_group,pyoverdine,production
FG_110,PYO_19,functional_group,pyoverdine,production
FG_111,PYO_20,functional_group,pyoverdine,production
FG_112,PYO_20,functional_group,pyoverdine,production
FG_113,PYO_20,functional_group,pyoverdine,production
FG_114,PYO_20,functional_group,pyoverdine,production
FG_115,PYO_20,functional_group,pyoverdine,production
FG_116,PYO_20,functional_group,pyoverdine,production
FG_117,PYO_20,functional_group,pyoverdine,production
FG_118,PYO_20,functional_group,pyoverdine,production
FG_119,PYO_20,functional_group,pyoverdine,production
FG_120,PYO_21,functional_group,pyoverdine,production
FG_110,PYO_22,functional_group,pyoverdine,production
FG_121,PYO_22,functional_group,pyoverdine,production
FG_122,PYO_22,functional_group,pyoverdine,production
FG_123,PYO_22,functional_group,pyoverdine,production
FG_124,PYO_22,functional_group,pyoverdine,production
FG_125,PYO_22,functional_group,pyoverdine,production
FG_126,PYO_22,functional_group,pyoverdine,production
FG_127,PYO_22,functional_group,pyoverdine,production
FG_128,PYO_22,functional_group,pyoverdine,production
FG_129,PYO_22,functional_group,pyoverdine,production
FG_130,PYO_23,functional_group,pyoverdine,production
FG_131,PYO_23,functional_group,pyoverdine,production
FG_132,PYO_24,functional_group,pyoverdine,production
FG_133,PYO_24,functional_group,pyoverdine,production
FG_134,PYO_25,functional_group,pyoverdine,production
FG_135,PYO_26,functional_group,pyoverdine,production
FG_136,PYO_27,functional_group,pyoverdine,production
FG_137,PYO_28,functional_group,pyoverdine,production
FG_138,PYO_28,functional_group,pyoverdine,production
FG_139,PYO_28,functional_group,pyoverdine,production
FG_140,PYO_28,functional_group,pyoverdine,production
FG_141,PYO_28,functional_group,pyoverdine,production
FG_142,PYO_28,functional_group,pyoverdine,production
FG_143,PYO_28,functional_group,pyoverdine,production
FG_144,PYO_28,functional_group,pyoverdine,production
FG_145,PYO_29,functional_group,pyoverdine,production
FG_146,PYO_29,functional_group,pyoverdine,production
FG_111,PYO_30,functional_group,pyoverdine,production
FG_112,PYO_30,functional_group,pyoverdine,production
FG_113,PYO_30,functional_group,pyoverdine,production
FG_147,PYO_30,functional_group,pyoverdine,production
FG_148,PYO_31,functional_group,pyoverdine,production
FG_149,PYO_32,functional_group,pyoverdine,production
FG_150,PYO_33,functional_group,pyoverdine,production
FG_151,PYO_34,functional_group,pyoverdine,production
FG_152,PYO_35,functional_group,pyoverdine,production
FG_153,PYO_36,functional_group,pyoverdine,production
FG_154,PYO_37,functional_group,pyoverdine,production
FG_155,PYO_38,functional_group,pyoverdine,production
FG_156,PYO_39,functional_group,pyoverdine,production
FG_157,PYO_40,functional_group,pyoverdine,production
FG_158,PYO_41,functional_group,pyoverdine,production
FG_159,PYO_42,functional_group,pyoverdine,production
FG_160,PYO_43,functional_group,pyoverdine,production
FG_161,PYO_44,functional_group,pyoverdine,production
FG_162,PYO_45,functional_group,pyoverdine,production
FG_071,PYO_46,functional_group,pyoverdine,production
FG_072,PYO_46,functional_group,pyoverdine,production
FG_073,PYO_46,functional_group,pyoverdine,production
FG_074,PYO_46,functional_group,pyoverdine,production
FG_075,PYO_46,functional_group,pyoverdine,production
FG_163,PYO_46,functional_group,pyoverdine,production
FG_164,PYO_47,functional_group,pyoverdine,production
FG_166,PYO_48,functional_group,pyoverdine,production
FG_168,PYO_49,functional_group,pyoverdine,production
FG_169,PYO_49,functional_group,pyoverdine,production
FG_170,PYO_49,functional_group,pyoverdine,production
FG_171,PYO_49,functional_group,pyoverdine,production
