source,target,source_type,target_type,edge_type
STR_1608,PYO_01,strain,pyoverdine,production
STR_1631,PYO_01,strain,pyoverdine,production
STR_1759,PYO_01,strain,pyoverdine,production
STR_1602,PYO_02,strain,pyoverdine,production
STR_1593,PYO_03,strain,pyoverdine,production
STR_1618,PYO_03,strain,pyoverdine,production
STR_1630,PYO_03,strain,pyoverdine,production
STR_1774,PYO_03,strain,pyoverdine,production
STR_1320,PYO_04,strain,pyoverdine,production
STR_1560,PYO_04,strain,pyoverdine,production
STR_1563,PYO_04,strain,pyoverdine,production
STR_1566,PYO_04,strain,pyoverdine,production
STR_1569,PYO_04,strain,pyoverdine,production
STR_1577,PYO_04,strain,pyoverdine,production
STR_1584,PYO_04,strain,pyoverdine,production
STR_1585,PYO_04,strain,pyoverdine,production
STR_1587,PYO_04,strain,pyoverdine,production
STR_1588,PYO_04,strain,pyoverdine,production
STR_1653,PYO_04,strain,pyoverdine,production
STR_1654,PYO_04,strain,pyoverdine,production
STR_1655,PYO_04,strain,pyoverdine,production
STR_1657,PYO_04,strain,pyoverdine,production
STR_1669,PYO_04,strain,pyoverdine,production
STR_1686,PYO_04,strain,pyoverdine,production
STR_1687,PYO_04,strain,pyoverdine,production
STR_1688,PYO_04,strain,pyoverdine,production
STR_1689,PYO_04,strain,pyoverdine,production
STR_1706,PYO_04,strain,pyoverdine,production
STR_1710,PYO_04,strain,pyoverdine,production
STR_1711,PYO_04,strain,pyoverdine,production
STR_1728,PYO_04,strain,pyoverdine,production
STR_1739,PYO_04,strain,pyoverdine,production
STR_1740,PYO_04,strain,pyoverdine,production
STR_1745,PYO_04,strain,pyoverdine,production
STR_1746,PYO_04,strain,pyoverdine,production
STR_1747,PYO_04,strain,pyoverdine,production
STR_1748,PYO_04,strain,pyoverdine,production
STR_1749,PYO_04,strain,pyoverdine,production
STR_1750,PYO_04,strain,pyoverdine,production
STR_1751,PYO_04,strain,pyoverdine,production
STR_1755,PYO_04,strain,pyoverdine,production
STR_1756,PYO_04,strain,pyoverdine,production
