"functional_group_id","conservative_canonical_signature","strain_count","n_validated_production_groups","n_usable_pyoverdines","strategy","strategy_category","strategy_description"
1,"0|10,11",12,0,2,"Nonproducer","Nonproducer","Production: none | Utilization: 2 pyoverdines"
2,"0|10,11,216",1,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
3,"0|10,11,22,23,53,54,55,56,57,58,59,60,61,62,63,64,65,66,264,265,266",1,0,21,"Nonproducer","Nonproducer","Production: none | Utilization: 21 pyoverdines"
4,"0|10,11,27,28,29,30,31,32,33",5,0,9,"Nonproducer","Nonproducer","Production: none | Utilization: 9 pyoverdines"
5,"0|10,11,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,0,23,"Nonproducer","Nonproducer","Production: none | Utilization: 23 pyoverdines"
6,"0|113,114,115,116,117,118,119,120",1,0,8,"Nonproducer","Nonproducer","Production: none | Utilization: 8 pyoverdines"
7,"0|12,13,14",1,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
8,"0|12,13,14,27,28,29,30,31,32,33",2,0,10,"Nonproducer","Nonproducer","Production: none | Utilization: 10 pyoverdines"
9,"0|12,13,14,53,54,55,56,57,58,59,60,61,62,63,64,65,66",2,0,17,"Nonproducer","Nonproducer","Production: none | Utilization: 17 pyoverdines"
10,"0|216",5,0,1,"Nonproducer","Nonproducer","Production: none | Utilization: 1 pyoverdines"
11,"0|218,219,220,221,222,223",2,0,6,"Nonproducer","Nonproducer","Production: none | Utilization: 6 pyoverdines"
12,"0|22,23",32,0,2,"Nonproducer","Nonproducer","Production: none | Utilization: 2 pyoverdines"
13,"0|22,23,264,265,266,275,276,277,278",2,0,9,"Nonproducer","Nonproducer","Production: none | Utilization: 9 pyoverdines"
14,"0|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,275,276,277,278",4,0,27,"Nonproducer","Nonproducer","Production: none | Utilization: 27 pyoverdines"
15,"0|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,87,88,89",1,0,26,"Nonproducer","Nonproducer","Production: none | Utilization: 26 pyoverdines"
16,"0|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,255,275,276,277,278",2,0,30,"Nonproducer","Nonproducer","Production: none | Utilization: 30 pyoverdines"
17,"0|22,23,27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,275,276,277,278",1,0,29,"Nonproducer","Nonproducer","Production: none | Utilization: 29 pyoverdines"
18,"0|22,23,275,276,277,278",2,0,6,"Nonproducer","Nonproducer","Production: none | Utilization: 6 pyoverdines"
19,"0|22,23,34,35,36,37,38,39,40,41",15,0,10,"Nonproducer","Nonproducer","Production: none | Utilization: 10 pyoverdines"
20,"0|22,23,53,54,55,56,57,58,59,60,61,62,63,64,65,66,97,98,275,276,277,278",1,0,22,"Nonproducer","Nonproducer","Production: none | Utilization: 22 pyoverdines"
21,"0|249,250,251,252",1,0,4,"Nonproducer","Nonproducer","Production: none | Utilization: 4 pyoverdines"
22,"0|264,265,266",1,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
23,"0|27,28,29,30,31,32,33",15,0,7,"Nonproducer","Nonproducer","Production: none | Utilization: 7 pyoverdines"
24,"0|27,28,29,30,31,32,33,216",1,0,8,"Nonproducer","Nonproducer","Production: none | Utilization: 8 pyoverdines"
25,"0|27,28,29,30,31,32,33,275,276,277,278",1,0,11,"Nonproducer","Nonproducer","Production: none | Utilization: 11 pyoverdines"
26,"0|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66",3,0,21,"Nonproducer","Nonproducer","Production: none | Utilization: 21 pyoverdines"
27,"0|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,216",1,0,22,"Nonproducer","Nonproducer","Production: none | Utilization: 22 pyoverdines"
28,"0|27,28,29,30,31,32,33,53,54,55,56,57,58,59,60,61,62,63,64,65,66,275,276,277,278",1,0,25,"Nonproducer","Nonproducer","Production: none | Utilization: 25 pyoverdines"
29,"0|27,28,29,30,31,32,33,87,88,89",3,0,10,"Nonproducer","Nonproducer","Production: none | Utilization: 10 pyoverdines"
30,"0|27,28,29,30,31,32,33,97,98",10,0,9,"Nonproducer","Nonproducer","Production: none | Utilization: 9 pyoverdines"
31,"0|275,276,277,278",8,0,4,"Nonproducer","Nonproducer","Production: none | Utilization: 4 pyoverdines"
32,"0|34,35,36,37,38,39,40,41",16,0,8,"Nonproducer","Nonproducer","Production: none | Utilization: 8 pyoverdines"
33,"0|34,35,36,37,38,39,40,41,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,0,22,"Nonproducer","Nonproducer","Production: none | Utilization: 22 pyoverdines"
34,"0|42",3,0,1,"Nonproducer","Nonproducer","Production: none | Utilization: 1 pyoverdines"
35,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66",28,0,14,"Nonproducer","Nonproducer","Production: none | Utilization: 14 pyoverdines"
36,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66,264,265,266",1,0,17,"Nonproducer","Nonproducer","Production: none | Utilization: 17 pyoverdines"
37,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66,264,265,266,275,276,277,278",5,0,21,"Nonproducer","Nonproducer","Production: none | Utilization: 21 pyoverdines"
38,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66,275,276,277,278",7,0,18,"Nonproducer","Nonproducer","Production: none | Utilization: 18 pyoverdines"
39,"0|53,54,55,56,57,58,59,60,61,62,63,64,65,66,69,70,275,276,277,278",1,0,20,"Nonproducer","Nonproducer","Production: none | Utilization: 20 pyoverdines"
40,"0|6,7,8",7,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
41,"0|6,7,8,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,0,17,"Nonproducer","Nonproducer","Production: none | Utilization: 17 pyoverdines"
42,"0|69,70",12,0,2,"Nonproducer","Nonproducer","Production: none | Utilization: 2 pyoverdines"
43,"0|87,88,89",5,0,3,"Nonproducer","Nonproducer","Production: none | Utilization: 3 pyoverdines"
44,"10,105|10,11,103,104,105",13,2,5,"Multi-producer","Producer","Production: 2 validated groups | Utilization: 5 pyoverdines"
45,"103|103,104,105",1,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
46,"104|103,104,105",2,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
47,"105|103,104,105",3,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
48,"10|10,11",23,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
49,"113|113,114,115,116,117,118,119,120",1,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
50,"11|10,11",1,1,2,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 2 pyoverdines"
51,"120|113,114,115,116,117,118,119,120",2,1,8,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 8 pyoverdines"
52,"12|12,13,14,16,17,18",3,1,6,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 6 pyoverdines"
53,"13|12,13,14",1,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
54,"14|12,13,14",2,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
55,"14|12,13,14,53,54,55,56,57,58,59,60,61,62,63,64,65,66",1,1,17,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 17 pyoverdines"
56,"16|16,17,18",2,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
57,"17|16,17,18",3,1,3,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 3 pyoverdines"
58,"18|16,17,18,218,219,220,221,222,223",1,1,9,"Multi-receptor producer","Producer","Production: 1 validated groups | Utilization: 9 pyoverdines"
