"consensus_module","module_mean_within","module_median_within","n_members"
1,NA,NA,1
2,NA,NA,1
3,NA,NA,1
4,NA,NA,1
5,NA,NA,1
6,NA,NA,1
7,NA,NA,1
8,NA,NA,1
9,NA,NA,1
10,NA,NA,1
11,NA,NA,1
12,NA,NA,1
13,NA,NA,1
14,NA,NA,1
15,NA,NA,1
16,NA,NA,1
17,NA,NA,1
18,NA,NA,1
19,NA,NA,1
20,NA,NA,1
21,NA,NA,1
22,NA,NA,1
23,NA,NA,1
24,NA,NA,1
25,NA,NA,1
26,NA,NA,1
27,NA,NA,1
28,NA,NA,1
29,NA,NA,1
30,NA,NA,1
31,NA,NA,1
32,NA,NA,1
33,NA,NA,1
34,NA,NA,1
35,NA,NA,1
36,NA,NA,1
37,NA,NA,1
38,NA,NA,1
39,NA,NA,1
40,NA,NA,1
41,NA,NA,1
42,NA,NA,1
43,NA,NA,1
44,NA,NA,1
45,NA,NA,1
46,NA,NA,1
47,NA,NA,1
48,NA,NA,1
49,NA,NA,1
50,NA,NA,1
51,NA,NA,1
52,NA,NA,1
53,NA,NA,1
54,NA,NA,1
55,NA,NA,1
56,NA,NA,1
57,NA,NA,1
58,NA,NA,1
59,NA,NA,1
60,NA,NA,1
61,NA,NA,1
62,NA,NA,1
63,NA,NA,1
64,NA,NA,1
65,NA,NA,1
66,NA,NA,1
67,NA,NA,1
68,NA,NA,1
69,NA,NA,1
70,NA,NA,1
71,NA,NA,1
72,NA,NA,1
73,NA,NA,1
74,NA,NA,1
75,NA,NA,1
76,NA,NA,1
77,NA,NA,1
78,NA,NA,1
79,NA,NA,1
80,NA,NA,1
81,NA,NA,1
82,NA,NA,1
83,NA,NA,1
84,NA,NA,1
85,NA,NA,1
86,NA,NA,1
87,NA,NA,1
88,NA,NA,1
89,NA,NA,1
90,NA,NA,1
91,NA,NA,1
92,NA,NA,1
93,NA,NA,1
94,NA,NA,1
95,NA,NA,1
96,NA,NA,1
97,NA,NA,1
98,NA,NA,1
99,NA,NA,1
100,NA,NA,1
101,NA,NA,1
102,NA,NA,1
103,NA,NA,1
104,NA,NA,1
105,NA,NA,1
106,NA,NA,1
107,NA,NA,1
108,NA,NA,1
109,NA,NA,1
110,NA,NA,1
111,NA,NA,1
112,NA,NA,1
113,NA,NA,1
114,NA,NA,1
115,NA,NA,1
116,NA,NA,1
117,NA,NA,1
118,NA,NA,1
119,NA,NA,1
120,NA,NA,1
121,NA,NA,1
122,NA,NA,1
123,NA,NA,1
124,NA,NA,1
125,NA,NA,1
126,NA,NA,1
127,NA,NA,1
128,NA,NA,1
129,NA,NA,1
130,NA,NA,1
131,NA,NA,1
132,NA,NA,1
133,NA,NA,1
134,NA,NA,1
135,NA,NA,1
136,NA,NA,1
137,NA,NA,1
138,NA,NA,1
139,NA,NA,1
140,NA,NA,1
141,NA,NA,1
142,NA,NA,1
143,NA,NA,1
144,NA,NA,1
145,NA,NA,1
146,NA,NA,1
147,NA,NA,1
148,NA,NA,1
149,NA,NA,1
150,NA,NA,1
151,NA,NA,1
152,NA,NA,1
153,NA,NA,1
154,NA,NA,1
155,NA,NA,1
156,NA,NA,1
157,NA,NA,1
158,NA,NA,1
159,NA,NA,1
160,NA,NA,1
161,NA,NA,1
162,NA,NA,1
163,NA,NA,1
164,NA,NA,1
165,NA,NA,1
166,NA,NA,1
167,NA,NA,1
168,NA,NA,1
169,NA,NA,1
170,NA,NA,1
171,NA,NA,1
172,NA,NA,1
173,NA,NA,1
174,NA,NA,1
175,NA,NA,1
176,NA,NA,1
177,NA,NA,1
178,NA,NA,1
179,NA,NA,1
180,NA,NA,1
181,NA,NA,1
182,NA,NA,1
183,NA,NA,1
184,NA,NA,1
185,NA,NA,1
186,NA,NA,1
187,NA,NA,1
188,NA,NA,1
189,NA,NA,1
190,NA,NA,1
191,NA,NA,1
192,NA,NA,1
193,NA,NA,1
194,NA,NA,1
195,NA,NA,1
196,NA,NA,1
197,NA,NA,1
198,NA,NA,1
199,NA,NA,1
200,NA,NA,1
201,NA,NA,1
202,NA,NA,1
203,NA,NA,1
204,NA,NA,1
205,NA,NA,1
206,NA,NA,1
207,NA,NA,1
208,NA,NA,1
209,NA,NA,1
210,NA,NA,1
211,NA,NA,1
212,NA,NA,1
213,NA,NA,1
214,NA,NA,1
215,NA,NA,1
216,NA,NA,1
217,NA,NA,1
218,NA,NA,1
219,NA,NA,1
220,NA,NA,1
221,NA,NA,1
222,NA,NA,1
223,NA,NA,1
224,NA,NA,1
225,NA,NA,1
226,NA,NA,1
227,NA,NA,1
228,NA,NA,1
229,NA,NA,1
230,NA,NA,1
231,NA,NA,1
232,NA,NA,1
233,NA,NA,1
234,NA,NA,1
235,NA,NA,1
236,NA,NA,1
237,NA,NA,1
238,NA,NA,1
239,NA,NA,1
240,NA,NA,1
241,NA,NA,1
242,NA,NA,1
243,NA,NA,1
244,NA,NA,1
245,NA,NA,1
246,NA,NA,1
247,NA,NA,1
248,NA,NA,1
249,NA,NA,1
250,NA,NA,1
251,NA,NA,1
252,NA,NA,1
253,NA,NA,1
254,NA,NA,1
255,NA,NA,1
256,NA,NA,1
257,NA,NA,1
258,NA,NA,1
259,NA,NA,1
260,NA,NA,1
261,NA,NA,1
262,NA,NA,1
263,NA,NA,1
264,NA,NA,1
265,NA,NA,1
266,NA,NA,1
267,NA,NA,1
268,NA,NA,1
269,NA,NA,1
270,NA,NA,1
