"node_id","rep_1","rep_2","rep_3","rep_4","rep_5","rep_6","rep_7","rep_8","rep_9","rep_10","rep_11","rep_12","rep_13","rep_14","rep_15","rep_16","rep_17","rep_18","rep_19","rep_20"
"FG_165",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"FG_167",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"FG_174",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"FG_044",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"FG_048",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FG_050",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"FG_052",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"FG_053",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"FG_054",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"FG_055",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"FG_056",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"FG_057",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"FG_058",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"FG_067",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"FG_068",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"FG_069",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"FG_070",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"FG_071",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"FG_072",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"FG_073",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"FG_074",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"FG_075",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"FG_077",23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"FG_078",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"FG_079",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
"FG_080",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"FG_081",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
"FG_082",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
"FG_083",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"FG_104",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"FG_105",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"FG_106",32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
"FG_107",33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"FG_108",34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
"FG_109",35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"FG_110",36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
"FG_111",37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
"FG_112",38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
"FG_113",39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
"FG_114",40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
"FG_115",41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
"FG_116",42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
"FG_117",43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
"FG_118",44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
