node_id,module_id,node_type,layer
FG_044,7,FG,production
FG_045,9,FG,production
FG_046,6,FG,production
FG_047,7,FG,production
FG_048,7,FG,production
FG_049,9,FG,production
FG_050,12,FG,production
FG_051,8,FG,production
FG_052,13,FG,production
FG_053,12,FG,production
FG_054,13,FG,production
FG_055,13,FG,production
FG_056,1,FG,production
FG_057,1,FG,production
FG_058,1,FG,production
FG_059,8,FG,production
FG_060,4,FG,production
FG_061,14,FG,production
FG_062,5,FG,production
FG_063,5,FG,production
FG_064,3,FG,production
FG_065,3,FG,production
FG_066,3,FG,production
FG_067,4,FG,production
FG_068,4,FG,production
FG_069,4,FG,production
FG_070,4,FG,production
FG_071,0,FG,production
FG_072,0,FG,production
FG_073,0,FG,production
FG_074,0,FG,production
FG_075,0,FG,production
FG_076,2,FG,production
FG_077,0,FG,production
FG_078,0,FG,production
FG_079,0,FG,production
FG_080,0,FG,production
FG_081,0,FG,production
FG_082,0,FG,production
FG_083,0,FG,production
FG_084,3,FG,production
FG_085,12,FG,production
FG_086,12,FG,production
FG_087,8,FG,production
FG_088,8,FG,production
FG_089,8,FG,production
FG_090,6,FG,production
FG_091,6,FG,production
FG_092,6,FG,production
FG_093,0,FG,production
FG_094,10,FG,production
FG_095,5,FG,production
FG_096,0,FG,production
FG_097,8,FG,production
FG_098,2,FG,production
FG_099,8,FG,production
FG_100,1,FG,production
FG_101,1,FG,production
FG_102,12,FG,production
FG_103,2,FG,production
FG_104,11,FG,production
FG_105,11,FG,production
FG_106,1,FG,production
FG_107,1,FG,production
FG_108,14,FG,production
FG_109,1,FG,production
FG_110,5,FG,production
FG_111,8,FG,production
FG_112,8,FG,production
FG_113,8,FG,production
FG_114,8,FG,production
FG_115,8,FG,production
FG_116,8,FG,production
FG_117,8,FG,production
FG_118,8,FG,production
FG_119,8,FG,production
FG_120,12,FG,production
FG_121,5,FG,production
FG_122,5,FG,production
FG_123,5,FG,production
FG_124,5,FG,production
FG_125,5,FG,production
FG_126,5,FG,production
FG_127,5,FG,production
FG_128,5,FG,production
FG_129,5,FG,production
FG_130,9,FG,production
FG_131,9,FG,production
FG_132,13,FG,production
FG_133,13,FG,production
FG_134,7,FG,production
FG_135,7,FG,production
FG_136,0,FG,production
FG_137,1,FG,production
FG_138,2,FG,production
FG_139,2,FG,production
FG_140,2,FG,production
FG_141,2,FG,production
FG_142,2,FG,production
FG_143,2,FG,production
FG_144,2,FG,production
FG_145,2,FG,production
FG_146,2,FG,production
FG_147,8,FG,production
FG_148,7,FG,production
FG_149,6,FG,production
FG_150,10,FG,production
FG_151,12,FG,production
FG_152,0,FG,production
FG_153,13,FG,production
FG_154,4,FG,production
FG_155,9,FG,production
FG_156,10,FG,production
FG_157,11,FG,production
FG_158,4,FG,production
FG_159,4,FG,production
FG_160,2,FG,production
FG_161,14,FG,production
FG_162,12,FG,production
FG_163,0,FG,production
FG_164,2,FG,production
FG_165,8,FG,production
FG_166,7,FG,production
FG_167,1,FG,production
FG_168,11,FG,production
FG_169,11,FG,production
FG_170,11,FG,production
FG_171,11,FG,production
FG_172,1,FG,production
FG_173,8,FG,production
FG_174,3,FG,production
FG_175,6,FG,production
FG_176,14,FG,production
FG_177,14,FG,production
PYO_01,8,PYOV,production
PYO_02,1,PYOV,production
PYO_03,3,PYOV,production
PYO_04,7,PYOV,production
PYO_05,12,PYOV,production
PYO_06,13,PYOV,production
PYO_07,12,PYOV,production
PYO_08,13,PYOV,production
PYO_09,1,PYOV,production
PYO_10,1,PYOV,production
PYO_11,1,PYOV,production
PYO_12,4,PYOV,production
PYO_13,0,PYOV,production
PYO_14,11,PYOV,production
PYO_15,11,PYOV,production
PYO_16,1,PYOV,production
PYO_17,14,PYOV,production
PYO_18,1,PYOV,production
PYO_19,5,PYOV,production
PYO_20,8,PYOV,production
PYO_21,12,PYOV,production
PYO_22,5,PYOV,production
PYO_23,9,PYOV,production
PYO_24,13,PYOV,production
PYO_25,7,PYOV,production
PYO_26,7,PYOV,production
PYO_27,0,PYOV,production
PYO_28,2,PYOV,production
PYO_29,2,PYOV,production
PYO_30,8,PYOV,production
PYO_31,7,PYOV,production
PYO_32,6,PYOV,production
PYO_33,10,PYOV,production
PYO_34,12,PYOV,production
PYO_35,0,PYOV,production
PYO_36,13,PYOV,production
PYO_37,4,PYOV,production
PYO_38,9,PYOV,production
PYO_39,10,PYOV,production
PYO_40,11,PYOV,production
PYO_41,4,PYOV,production
PYO_42,4,PYOV,production
PYO_43,2,PYOV,production
PYO_44,14,PYOV,production
PYO_45,12,PYOV,production
PYO_46,0,PYOV,production
PYO_47,2,PYOV,production
PYO_48,7,PYOV,production
PYO_49,11,PYOV,production
PYO_50,8,PYOV,production
PYO_51,1,PYOV,production
PYO_52,8,PYOV,production
PYO_53,6,PYOV,production
PYO_54,14,PYOV,production
PYO_55,9,PYOV,production
PYO_56,6,PYOV,production
PYO_57,7,PYOV,production
PYO_58,9,PYOV,production
PYO_59,0,PYOV,production
PYO_60,5,PYOV,production
PYO_61,5,PYOV,production
PYO_62,5,PYOV,production
PYO_63,2,PYOV,production
PYO_64,1,PYOV,production
PYO_65,8,PYOV,production
PYO_66,8,PYOV,production
PYO_67,5,PYOV,production
PYO_68,4,PYOV,production
PYO_69,14,PYOV,production
PYO_70,5,PYOV,production
PYO_71,5,PYOV,production
PYO_72,0,PYOV,production
PYO_73,3,PYOV,production
PYO_74,3,PYOV,production
PYO_75,2,PYOV,production
PYO_76,3,PYOV,production
PYO_77,12,PYOV,production
PYO_78,8,PYOV,production
PYO_79,8,PYOV,production
PYO_80,6,PYOV,production
PYO_81,0,PYOV,production
PYO_82,10,PYOV,production
PYO_83,5,PYOV,production
PYO_84,0,PYOV,production
PYO_85,8,PYOV,production
PYO_86,2,PYOV,production
PYO_87,8,PYOV,production
PYO_88,1,PYOV,production
PYO_89,12,PYOV,production
PYO_90,2,PYOV,production
PYO_91,5,PYOV,production
PYO_92,1,PYOV,production
PYO_93,2,PYOV,production
