node_id,module_id,node_type,layer
FG_001,1,FG,utilization
FG_002,1,FG,utilization
FG_003,3,FG,utilization
FG_004,8,FG,utilization
FG_005,3,FG,utilization
FG_006,0,FG,utilization
FG_007,4,FG,utilization
FG_008,8,FG,utilization
FG_009,3,FG,utilization
FG_010,3,FG,utilization
FG_011,5,FG,utilization
FG_012,8,FG,utilization
FG_013,8,FG,utilization
FG_014,3,FG,utilization
FG_015,3,FG,utilization
FG_016,3,FG,utilization
FG_017,3,FG,utilization
FG_018,8,FG,utilization
FG_019,0,FG,utilization
FG_020,3,FG,utilization
FG_021,7,FG,utilization
FG_022,8,FG,utilization
FG_023,8,FG,utilization
FG_024,8,FG,utilization
FG_025,8,FG,utilization
FG_026,3,FG,utilization
FG_027,3,FG,utilization
FG_028,3,FG,utilization
FG_029,8,FG,utilization
FG_030,8,FG,utilization
FG_031,8,FG,utilization
FG_032,0,FG,utilization
FG_033,3,FG,utilization
FG_034,10,FG,utilization
FG_035,3,FG,utilization
FG_036,3,FG,utilization
FG_037,3,FG,utilization
FG_038,3,FG,utilization
FG_039,3,FG,utilization
FG_040,2,FG,utilization
FG_041,3,FG,utilization
FG_042,9,FG,utilization
FG_043,8,FG,utilization
FG_044,2,FG,utilization
FG_045,2,FG,utilization
FG_046,2,FG,utilization
FG_047,2,FG,utilization
FG_048,1,FG,utilization
FG_049,0,FG,utilization
FG_050,1,FG,utilization
FG_051,0,FG,utilization
FG_052,2,FG,utilization
FG_053,4,FG,utilization
FG_054,4,FG,utilization
FG_055,3,FG,utilization
FG_056,2,FG,utilization
FG_057,2,FG,utilization
FG_058,5,FG,utilization
FG_059,3,FG,utilization
FG_060,5,FG,utilization
FG_061,5,FG,utilization
FG_062,5,FG,utilization
FG_063,5,FG,utilization
FG_064,8,FG,utilization
FG_065,8,FG,utilization
FG_066,8,FG,utilization
FG_067,8,FG,utilization
FG_068,8,FG,utilization
FG_069,0,FG,utilization
FG_071,8,FG,utilization
FG_072,8,FG,utilization
FG_073,8,FG,utilization
FG_074,8,FG,utilization
FG_075,8,FG,utilization
FG_076,8,FG,utilization
FG_077,3,FG,utilization
FG_078,8,FG,utilization
FG_079,3,FG,utilization
FG_080,8,FG,utilization
FG_081,8,FG,utilization
FG_082,8,FG,utilization
FG_083,3,FG,utilization
FG_084,7,FG,utilization
FG_085,7,FG,utilization
FG_086,8,FG,utilization
FG_087,7,FG,utilization
FG_088,0,FG,utilization
FG_089,7,FG,utilization
FG_090,3,FG,utilization
FG_091,3,FG,utilization
FG_092,3,FG,utilization
FG_093,8,FG,utilization
FG_094,8,FG,utilization
FG_095,8,FG,utilization
FG_096,6,FG,utilization
FG_097,6,FG,utilization
FG_098,6,FG,utilization
FG_099,6,FG,utilization
FG_100,8,FG,utilization
FG_101,8,FG,utilization
FG_102,8,FG,utilization
FG_103,8,FG,utilization
FG_104,8,FG,utilization
FG_105,3,FG,utilization
FG_106,8,FG,utilization
FG_107,3,FG,utilization
FG_108,8,FG,utilization
FG_109,8,FG,utilization
FG_110,8,FG,utilization
FG_111,8,FG,utilization
FG_112,3,FG,utilization
FG_113,3,FG,utilization
FG_114,3,FG,utilization
FG_115,3,FG,utilization
FG_116,3,FG,utilization
FG_117,8,FG,utilization
FG_118,3,FG,utilization
FG_119,3,FG,utilization
FG_120,0,FG,utilization
FG_121,0,FG,utilization
FG_122,0,FG,utilization
FG_123,0,FG,utilization
FG_124,0,FG,utilization
FG_125,0,FG,utilization
FG_126,0,FG,utilization
FG_127,0,FG,utilization
FG_128,0,FG,utilization
FG_129,0,FG,utilization
FG_130,0,FG,utilization
FG_132,0,FG,utilization
FG_134,0,FG,utilization
FG_135,0,FG,utilization
FG_136,0,FG,utilization
FG_137,0,FG,utilization
FG_138,0,FG,utilization
FG_139,0,FG,utilization
FG_140,0,FG,utilization
FG_141,0,FG,utilization
FG_142,0,FG,utilization
FG_143,0,FG,utilization
FG_144,0,FG,utilization
FG_145,0,FG,utilization
FG_146,10,FG,utilization
FG_147,3,FG,utilization
FG_148,3,FG,utilization
FG_149,3,FG,utilization
FG_150,3,FG,utilization
FG_151,3,FG,utilization
FG_152,3,FG,utilization
FG_153,3,FG,utilization
FG_154,3,FG,utilization
FG_155,3,FG,utilization
FG_156,3,FG,utilization
FG_157,3,FG,utilization
FG_158,3,FG,utilization
FG_159,3,FG,utilization
FG_160,3,FG,utilization
FG_161,3,FG,utilization
FG_162,3,FG,utilization
FG_163,8,FG,utilization
FG_164,9,FG,utilization
FG_165,2,FG,utilization
FG_166,9,FG,utilization
FG_168,8,FG,utilization
FG_169,3,FG,utilization
FG_170,4,FG,utilization
FG_171,3,FG,utilization
FG_172,8,FG,utilization
FG_173,4,FG,utilization
FG_174,2,FG,utilization
FG_175,8,FG,utilization
FG_176,3,FG,utilization
FG_177,8,FG,utilization
PYO_01,2,PYOV,utilization
PYO_02,2,PYOV,utilization
PYO_03,2,PYOV,utilization
PYO_04,1,PYOV,utilization
PYO_05,1,PYOV,utilization
PYO_06,4,PYOV,utilization
PYO_07,4,PYOV,utilization
PYO_08,4,PYOV,utilization
PYO_09,2,PYOV,utilization
PYO_10,2,PYOV,utilization
PYO_11,2,PYOV,utilization
PYO_12,8,PYOV,utilization
PYO_13,8,PYOV,utilization
PYO_14,8,PYOV,utilization
PYO_15,8,PYOV,utilization
PYO_16,8,PYOV,utilization
PYO_17,8,PYOV,utilization
PYO_18,8,PYOV,utilization
PYO_19,8,PYOV,utilization
PYO_20,8,PYOV,utilization
PYO_21,0,PYOV,utilization
PYO_22,0,PYOV,utilization
PYO_23,0,PYOV,utilization
PYO_24,0,PYOV,utilization
PYO_25,0,PYOV,utilization
PYO_26,0,PYOV,utilization
PYO_27,0,PYOV,utilization
PYO_28,0,PYOV,utilization
PYO_29,10,PYOV,utilization
PYO_30,3,PYOV,utilization
PYO_31,3,PYOV,utilization
PYO_32,3,PYOV,utilization
PYO_33,3,PYOV,utilization
PYO_34,3,PYOV,utilization
PYO_35,3,PYOV,utilization
PYO_36,3,PYOV,utilization
PYO_37,3,PYOV,utilization
PYO_38,3,PYOV,utilization
PYO_39,3,PYOV,utilization
PYO_40,3,PYOV,utilization
PYO_41,3,PYOV,utilization
PYO_42,3,PYOV,utilization
PYO_43,3,PYOV,utilization
PYO_44,3,PYOV,utilization
PYO_45,3,PYOV,utilization
PYO_46,8,PYOV,utilization
PYO_47,9,PYOV,utilization
PYO_48,9,PYOV,utilization
PYO_49,3,PYOV,utilization
PYO_50,8,PYOV,utilization
PYO_51,8,PYOV,utilization
PYO_52,8,PYOV,utilization
PYO_53,3,PYOV,utilization
PYO_54,3,PYOV,utilization
PYO_55,2,PYOV,utilization
PYO_56,2,PYOV,utilization
PYO_57,2,PYOV,utilization
PYO_58,0,PYOV,utilization
PYO_59,0,PYOV,utilization
PYO_60,0,PYOV,utilization
PYO_61,0,PYOV,utilization
PYO_62,0,PYOV,utilization
PYO_63,0,PYOV,utilization
PYO_64,0,PYOV,utilization
PYO_65,0,PYOV,utilization
PYO_66,3,PYOV,utilization
PYO_67,5,PYOV,utilization
PYO_68,5,PYOV,utilization
PYO_69,5,PYOV,utilization
PYO_70,5,PYOV,utilization
PYO_71,5,PYOV,utilization
PYO_72,5,PYOV,utilization
PYO_73,8,PYOV,utilization
