replicate,Q,random_state,config_seed,brim_iterations,null_method,layer
1,0.7878646129172376,915449594,419575448,20000,bipartite_config_model,production
2,0.8128000000000001,650857765,2044082344,20000,bipartite_config_model,production
3,0.7994524067063278,1375008713,146555383,20000,bipartite_config_model,production
4,0.7878204081632654,488255070,1526053159,20000,bipartite_config_model,production
5,0.7741527307547622,1607494089,582096287,20000,bipartite_config_model,production
6,0.8214774967422901,1805758313,671890624,20000,bipartite_config_model,production
7,0.8290064737746072,611789574,1682485096,20000,bipartite_config_model,production
8,0.81185306122449,664940250,553558319,20000,bipartite_config_model,production
9,0.7957165291189147,2033632230,1202353333,20000,bipartite_config_model,production
10,0.8338948341920994,2032781509,819784590,20000,bipartite_config_model,production
11,0.8416000000000001,1543672219,1902125586,20000,bipartite_config_model,production
12,0.8206500198176774,1107399034,1631943514,20000,bipartite_config_model,production
13,0.8135183673469388,1972752776,765392087,20000,bipartite_config_model,production
14,0.8206367346938774,673096703,2045058400,20000,bipartite_config_model,production
15,0.8283428571428572,1721061568,774510038,20000,bipartite_config_model,production
16,0.806744616197648,900652733,1590093391,20000,bipartite_config_model,production
17,0.8003942664305524,1954441019,755470965,20000,bipartite_config_model,production
18,0.8177018944836112,306940447,953165325,20000,bipartite_config_model,production
19,0.8122775510204082,1895959069,1293428837,20000,bipartite_config_model,production
20,0.8218969713358576,108982304,2025182719,20000,bipartite_config_model,production
21,0.8038204081632653,2042102254,1970005392,20000,bipartite_config_model,production
22,0.8186352226185758,339118887,1785341186,20000,bipartite_config_model,production
23,0.7857709076496235,1092910864,1205036156,20000,bipartite_config_model,production
24,0.817469387755102,1190733419,1360729340,20000,bipartite_config_model,production
25,0.79378270236996,1050181500,857612935,20000,bipartite_config_model,production
26,0.764843462862107,2015717181,1575703515,20000,bipartite_config_model,production
27,0.8128880961817943,914788121,534448838,20000,bipartite_config_model,production
28,0.7623510204081632,2017365322,223088930,20000,bipartite_config_model,production
29,0.8114017703791782,674120694,415394963,20000,bipartite_config_model,production
30,0.8231138453217954,600013084,1372413818,20000,bipartite_config_model,production
31,0.8134530612244896,1612392600,1579942142,20000,bipartite_config_model,production
32,0.7839212577619238,567742422,1640909119,20000,bipartite_config_model,production
33,0.8103511644224665,1142840089,1168426033,20000,bipartite_config_model,production
