replicate,Q,random_state,brim_iterations,layer
1,0.8299755102040818,42,2000,production
2,0.8526040816326531,43,2000,production
3,0.8568816326530613,44,2000,production
4,0.7682612244897961,45,2000,production
5,0.8262204081632654,46,2000,production
6,0.7620244897959183,47,2000,production
7,0.8191020408163266,48,2000,production
8,0.8454204081632651,49,2000,production
9,0.8471836734693878,50,2000,production
10,0.8445387755102041,51,2000,production
11,0.8509061224489798,52,2000,production
12,0.8339591836734694,53,2000,production
13,0.7850122448979593,54,2000,production
14,0.8575020408163264,55,2000,production
15,0.8492408163265307,56,2000,production
16,0.8641632653061226,57,2000,production
17,0.8066285714285713,58,2000,production
18,0.8474448979591837,59,2000,production
19,0.8500244897959184,60,2000,production
20,0.8009142857142857,61,2000,production
21,0.808457142857143,62,2000,production
22,0.8092408163265306,63,2000,production
23,0.8657306122448979,64,2000,production
24,0.8422204081632655,65,2000,production
25,0.8113959183673468,66,2000,production
26,0.8709224489795918,67,2000,production
27,0.8519836734693879,68,2000,production
28,0.7941224489795919,69,2000,production
29,0.8205714285714287,70,2000,production
30,0.8073795918367348,71,2000,production
31,0.8093714285714285,72,2000,production
32,0.8110367346938777,73,2000,production
33,0.8676244897959184,74,2000,production
34,0.8508081632653063,75,2000,production
35,0.8165551020408163,76,2000,production
36,0.8108734693877551,77,2000,production
37,0.8209959183673472,78,2000,production
38,0.8055510204081634,79,2000,production
39,0.8108734693877552,80,2000,production
40,0.7987265306122449,81,2000,production
41,0.8393469387755101,82,2000,production
42,0.8127346938775512,83,2000,production
43,0.8227591836734693,84,2000,production
44,0.8276897959183674,85,2000,production
45,0.8112,86,2000,production
46,0.8310530612244899,87,2000,production
47,0.8320979591836735,88,2000,production
48,0.8289959183673471,89,2000,production
49,0.8527673469387756,90,2000,production
50,0.8354612244897961,91,2000,production
51,0.872,92,2000,production
52,0.8279836734693877,93,2000,production
53,0.8094693877551021,94,2000,production
54,0.8290938775510203,95,2000,production
55,0.8084571428571428,96,2000,production
56,0.8230204081632654,97,2000,production
57,0.8525061224489796,98,2000,production
58,0.8073142857142859,99,2000,production
59,0.8196897959183673,100,2000,production
60,0.8514285714285714,101,2000,production
61,0.8202122448979594,102,2000,production
62,0.8560653061224491,103,2000,production
63,0.816130612244898,104,2000,production
64,0.8199836734693877,105,2000,production
65,0.8103836734693878,106,2000,production
66,0.7892571428571429,107,2000,production
67,0.8137469387755102,108,2000,production
68,0.8355265306122451,109,2000,production
69,0.7790693877551021,110,2000,production
70,0.8379755102040818,111,2000,production
71,0.829942857142857,112,2000,production
72,0.8078040816326529,113,2000,production
73,0.8278857142857144,114,2000,production
74,0.7922938775510205,115,2000,production
75,0.8584816326530613,116,2000,production
76,0.8529632653061225,117,2000,production
77,0.8091102040816327,118,2000,production
78,0.8363755102040816,119,2000,production
79,0.807673469387755,120,2000,production
80,0.8497959183673471,121,2000,production
81,0.832065306122449,122,2000,production
82,0.8541061224489797,123,2000,production
83,0.8562612244897957,124,2000,production
84,0.8310530612244899,125,2000,production
85,0.8085224489795918,126,2000,production
86,0.8234775510204083,127,2000,production
87,0.8134204081632652,128,2000,production
88,0.8213551020408163,129,2000,production
89,0.8377795918367347,130,2000,production
90,0.8109714285714287,131,2000,production
91,0.8415020408163267,132,2000,production
92,0.7824326530612247,133,2000,production
93,0.8568816326530613,134,2000,production
94,0.859265306122449,135,2000,production
95,0.7088326530612247,136,2000,production
96,0.7829877551020409,137,2000,production
97,0.8376816326530611,138,2000,production
98,0.857469387755102,139,2000,production
99,0.8422204081632653,140,2000,production
100,0.8321306122448981,141,2000,production
101,0.8099591836734693,142,2000,production
102,0.8332081632653061,143,2000,production
103,0.8336979591836734,144,2000,production
104,0.8302693877551022,145,2000,production
105,0.8549551020408163,146,2000,production
106,0.8390204081632653,147,2000,production
107,0.819330612244898,148,2000,production
108,0.8127673469387756,149,2000,production
109,0.8453877551020409,150,2000,production
110,0.8308897959183673,151,2000,production
111,0.8041469387755104,152,2000,production
112,0.8197224489795919,153,2000,production
113,0.8131265306122449,154,2000,production
114,0.795461224489796,155,2000,production
115,0.8003918367346939,156,2000,production
116,0.7783183673469388,157,2000,production
117,0.843657142857143,158,2000,production
118,0.8583510204081631,159,2000,production
119,0.831738775510204,160,2000,production
120,0.8338285714285714,161,2000,production
121,0.8400979591836736,162,2000,production
122,0.8224326530612244,163,2000,production
123,0.8251102040816329,164,2000,production
124,0.8416,165,2000,production
125,0.8070857142857143,166,2000,production
126,0.8177632653061224,167,2000,production
127,0.7846204081632652,168,2000,production
128,0.7783836734693879,169,2000,production
129,0.8450938775510204,170,2000,production
130,0.8151836734693877,171,2000,production
131,0.809469387755102,172,2000,production
132,0.8607346938775511,173,2000,production
133,0.8283428571428574,174,2000,production
134,0.7961795918367347,175,2000,production
135,0.8530285714285716,176,2000,production
136,0.7899428571428572,177,2000,production
137,0.8464000000000002,178,2000,production
138,0.8081306122448979,179,2000,production
139,0.7765551020408163,180,2000,production
140,0.7749551020408163,181,2000,production
141,0.8229551020408165,182,2000,production
142,0.8123428571428571,183,2000,production
143,0.8038857142857143,184,2000,production
144,0.817926530612245,185,2000,production
145,0.8332408163265307,186,2000,production
146,0.8310204081632653,187,2000,production
147,0.8213877551020409,188,2000,production
148,0.8267755102040816,189,2000,production
149,0.8217142857142857,190,2000,production
150,0.8303673469387756,191,2000,production
151,0.8456489795918368,192,2000,production
152,0.7796244897959184,193,2000,production
153,0.8478367346938777,194,2000,production
154,0.8072163265306124,195,2000,production
155,0.8085224489795918,196,2000,production
156,0.8468571428571428,197,2000,production
157,0.8075102040816327,198,2000,production
158,0.7908897959183673,199,2000,production
159,0.8048000000000002,200,2000,production
160,0.7865469387755102,201,2000,production
161,0.8084244897959184,202,2000,production
162,0.8120816326530613,203,2000,production
163,0.8553469387755102,204,2000,production
164,0.8564244897959186,205,2000,production
165,0.8325551020408164,206,2000,production
166,0.8450285714285714,207,2000,production
167,0.8512326530612246,208,2000,production
168,0.8338612244897959,209,2000,production
169,0.829257142857143,210,2000,production
170,0.8268734693877551,211,2000,production
171,0.7976489795918368,212,2000,production
172,0.8722285714285715,213,2000,production
173,0.7927836734693879,214,2000,production
174,0.8297469387755102,215,2000,production
175,0.8308244897959185,216,2000,production
176,0.8381714285714285,217,2000,production
177,0.8419591836734693,218,2000,production
178,0.8138122448979592,219,2000,production
179,0.7792653061224489,220,2000,production
180,0.8253387755102041,221,2000,production
181,0.8122775510204082,222,2000,production
182,0.8071510204081633,223,2000,production
183,0.8289632653061224,224,2000,production
184,0.8429061224489798,225,2000,production
185,0.8600816326530611,226,2000,production
186,0.8335020408163265,227,2000,production
187,0.8171428571428572,228,2000,production
188,0.8242285714285715,229,2000,production
189,0.8496326530612246,230,2000,production
190,0.8151510204081632,231,2000,production
191,0.8285387755102043,232,2000,production
192,0.8304326530612244,233,2000,production
