replicate,Q,random_state,brim_iterations,layer
1,0.32336915939723404,1130769455,20000,utilization
2,0.27758431224099767,378401813,20000,utilization
3,0.3034078684769769,453577906,20000,utilization
4,0.32072533004941056,1498953964,20000,utilization
5,0.3342617283240733,564240031,20000,utilization
6,0.2837514504923887,156909247,20000,utilization
7,0.2945388013202775,2050313427,20000,utilization
8,0.30628150054186326,1388860591,20000,utilization
9,0.28413618536274493,1182753716,20000,utilization
10,0.32270870119736994,1736110985,20000,utilization
11,0.30845454378470494,2105268559,20000,utilization
12,0.29789120568361416,68197195,20000,utilization
13,0.3235758021532375,808040241,20000,utilization
14,0.09290119241854686,140027982,20000,utilization
15,0.25467352041790153,1249331107,20000,utilization
16,0.30392197968152657,2062629471,20000,utilization
17,0.31654495707820324,982612006,20000,utilization
18,0.2954937504043011,1259181070,20000,utilization
19,0.3191225010202362,2055092483,20000,utilization
20,0.3125967826820991,1059866527,20000,utilization
21,0.31822125908728993,149103237,20000,utilization
22,0.30673012495996915,424886218,20000,utilization
23,0.43147666314475536,756699502,20000,utilization
24,0.3049547941518702,1473103561,20000,utilization
25,0.31736054708619743,1417204733,20000,utilization
26,0.3159819304386577,1366633003,20000,utilization
27,0.31493394220072346,1443394407,20000,utilization
28,0.2841777135687823,951087282,20000,utilization
29,0.30288457314993833,17185765,20000,utilization
30,0.3163363177738326,241429458,20000,utilization
31,0.284072295814995,1775969147,20000,utilization
32,0.3129797206589248,1115994855,20000,utilization
33,0.331937346714999,1278112478,20000,utilization
34,0.2916236410493539,1253258290,20000,utilization
35,0.32725783665199604,1957452497,20000,utilization
36,0.299600650395596,1755609085,20000,utilization
37,0.3325448963831328,1069615445,20000,utilization
38,0.310154005754851,1107006788,20000,utilization
39,0.2822394644139212,2041287707,20000,utilization
40,0.3235103153667939,737898255,20000,utilization
41,0.3117963664416956,1546626469,20000,utilization
42,0.34435208411697854,885820984,20000,utilization
43,0.3145200577242065,514260910,20000,utilization
44,0.3062202065069908,501616919,20000,utilization
45,0.331196826925611,115355358,20000,utilization
46,0.3279981567865474,132165582,20000,utilization
47,0.29021966823755097,373129640,20000,utilization
48,0.30583107923022673,1220704801,20000,utilization
49,0.27987175770527906,1771445148,20000,utilization
50,0.4282797898992222,744432627,20000,utilization
51,0.3346947796649153,1968267358,20000,utilization
52,0.331982069398424,80219582,20000,utilization
53,0.2902076889473479,1116161749,20000,utilization
54,0.3042358370848477,1330771667,20000,utilization
55,0.30343422291542377,1962611004,20000,utilization
56,0.29390290066532976,441208840,20000,utilization
57,0.3226120682563984,1796294965,20000,utilization
58,0.29838075934324737,2068922212,20000,utilization
59,0.3322210562379757,1371599324,20000,utilization
60,0.264499333552155,1662705859,20000,utilization
61,0.3195331910193657,676817811,20000,utilization
62,0.08633135036149509,639260260,20000,utilization
63,0.1922787884305612,2116050107,20000,utilization
64,0.32166410709165993,25302776,20000,utilization
65,0.30670836258276696,1076718760,20000,utilization
66,0.29955852322504856,2085282354,20000,utilization
67,0.3113615182073231,622551576,20000,utilization
68,0.2947079089669778,2101634555,20000,utilization
69,0.43562588996143464,1041911580,20000,utilization
70,0.3212428353861843,2124541872,20000,utilization
71,0.3049947251192139,1026384566,20000,utilization
72,0.4140188442221089,1589730276,20000,utilization
73,0.3022332990725633,699945471,20000,utilization
74,0.3251408964182721,656249770,20000,utilization
75,0.3322899371566436,1231051407,20000,utilization
76,0.3153078957098967,2004472797,20000,utilization
77,0.3270767497150925,1700482449,20000,utilization
78,0.05663309270932412,1643227910,20000,utilization
79,0.29588267802622825,1312450115,20000,utilization
80,0.3148738460948712,699572080,20000,utilization
81,0.32375010082569255,1857567272,20000,utilization
82,0.2877393562009997,381691034,20000,utilization
83,0.33298373771423956,1065298292,20000,utilization
84,0.29823800613499374,1032300765,20000,utilization
85,0.3236031548658679,569875354,20000,utilization
86,0.3137090597774568,82884413,20000,utilization
87,0.2870541408013825,1138476726,20000,utilization
88,0.3170772368728942,1809174361,20000,utilization
89,0.32405996513227936,1676880144,20000,utilization
90,0.3324121259167151,1182996365,20000,utilization
91,0.3271106910373347,1638358116,20000,utilization
92,0.32813072759812834,1777780552,20000,utilization
93,0.3126720525555419,1267620596,20000,utilization
94,0.2966465574315124,1169090593,20000,utilization
95,0.1366775119173972,1344153318,20000,utilization
96,0.3222972125788936,1138822212,20000,utilization
97,0.07313536358343699,1577956521,20000,utilization
98,0.3070078448378444,172401503,20000,utilization
99,0.11727385695609432,1745363942,20000,utilization
100,0.30125878381454135,98408909,20000,utilization
