module_id,n_rows,n_cols,nodf_total,nodf_rows,nodf_cols,fill_percentage
0,17,8,35.90399610136453,53.28947368421053,18.51851851851852,18.38235294117647
1,11,10,21.980676328502415,22.22222222222222,21.73913043478261,13.636363636363637
2,14,9,23.849206349206348,35.0,12.698412698412696,14.285714285714286
3,5,4,0.0,0.0,0.0,25.0
4,8,5,0.0,0.0,0.0,20.0
5,13,10,35.02435064935065,47.32142857142857,22.727272727272727,19.23076923076923
6,6,4,0.0,0.0,0.0,25.0
7,7,6,16.666666666666668,33.333333333333336,0.0,19.047619047619047
8,19,11,11.483253588516748,17.045454545454547,5.921052631578948,12.91866028708134
9,5,4,0.0,0.0,0.0,25.0
10,3,3,0.0,0.0,0.0,33.333333333333336
11,7,4,0.0,0.0,0.0,25.0
12,8,7,0.0,0.0,0.0,14.285714285714286
13,6,4,0.0,0.0,0.0,25.0
14,5,4,0.0,0.0,0.0,25.0
