pyo_id,label,original_pyov_id,producers_fg_count,utilizers_fg_count,fg_production_count,fg_utilization_count,strain_production_count,strain_utilization_count,fg_out_in_ratio,str_out_in_ratio,coop_fg,crossfeed_fg,nonprod_fg,coop_fg_frac,crossfeed_fg_frac,nonprod_fg_frac,util_total_strains,coop_strains,crossfeed_strains,nonprod_strains,coop_strain_frac,crossfeed_strain_frac,nonprod_strain_frac,module_id,util_module_n_rows,util_module_n_cols,util_module_nodf_total,util_module_fill_pct,util_module_is_large_nested,cheating_index
PYO_36,pyov_57,57,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_37,pyov_58,58,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_38,pyov_59,59,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_39,pyov_60,60,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_40,pyov_61,61,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_41,pyov_62,62,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_42,pyov_63,63,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_43,pyov_64,64,1,61,1,61,1,272,61,272,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,1,209,62,0.003676470588235294,0.7683823529411765,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.7227274173882283
PYO_17,pyov_30,30,1,58,1,58,1,333,58,333,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,1,281,51,0.003003003003003003,0.8438438438438438,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.704047623170468
PYO_18,pyov_31,31,1,58,1,58,1,333,58,333,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,1,281,51,0.003003003003003003,0.8438438438438438,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.704047623170468
