pyo_id,pyov_label,original_pyov_id,pair_index,n_syn_groups,n_rec_groups,syn_groups_csv,rec_groups_csv,fg_production_count,strain_production_count,fg_utilization_count,strain_utilization_count
PYO_01,pyov_6,6,9,3,1,6;7;8,222,1,3,5,16
PYO_02,pyov_7,7,9,3,1,6;7;8,222,1,1,5,16
PYO_03,pyov_8,8,9,3,1,6;7;8,222,1,4,5,16
PYO_04,pyov_10,10,17,2,7,10;11,4727;4728;4729;4730;4731;4732;4733,2,36,9,61
PYO_05,pyov_11,11,17,2,7,10;11,4727;4728;4729;4730;4731;4732;4733,1,1,9,61
PYO_06,pyov_12,12,11,3,4,12;13;14,4405;4406;4407;4408,1,3,12,22
PYO_07,pyov_13,13,11,3,4,12;13;14,4405;4406;4407;4408,1,1,12,22
PYO_08,pyov_14,14,11,3,4,12;13;14,4405;4406;4407;4408,2,3,12,22
PYO_09,pyov_16,16,14,3,3,16;17;18,5460;5461;5462,1,2,4,9
PYO_10,pyov_17,17,14,3,3,16;17;18,5460;5461;5462,1,3,4,9
PYO_11,pyov_18,18,14,3,3,16;17;18,5460;5461;5462,1,1,4,9
PYO_12,pyov_22,22,19,2,8,22;23,5421;5422;5423;5424;5425;5426;5427;5428,4,768,32,869
PYO_13,pyov_23,23,19,2,8,22;23,5421;5422;5423;5424;5425;5426;5427;5428,12,24,32,869
PYO_14,pyov_27,27,4,7,29,27;28;29;30;31;32;33,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,1,4,58,333
PYO_15,pyov_28,28,4,7,29,27;28;29;30;31;32;33,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,1,7,58,333
PYO_16,pyov_29,29,4,7,29,27;28;29;30;31;32;33,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,2,4,58,333
PYO_17,pyov_30,30,4,7,29,27;28;29;30;31;32;33,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,1,1,58,333
PYO_18,pyov_31,31,4,7,29,27;28;29;30;31;32;33,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,1,1,58,333
PYO_19,pyov_32,32,4,7,29,27;28;29;30;31;32;33,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,1,2,58,333
PYO_20,pyov_33,33,4,7,29,27;28;29;30;31;32;33,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,9,115,58,333
PYO_21,pyov_34,34,3,8,17,34;35;36;37;38;39;40;41,4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675,1,2,32,387
PYO_22,pyov_35,35,3,8,17,34;35;36;37;38;39;40;41,4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675,10,175,32,387
PYO_23,pyov_36,36,3,8,17,34;35;36;37;38;39;40;41,4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675,2,14,32,387
PYO_24,pyov_37,37,3,8,17,34;35;36;37;38;39;40;41,4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675,2,2,32,387
PYO_25,pyov_38,38,3,8,17,34;35;36;37;38;39;40;41,4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675,1,3,32,387
PYO_26,pyov_39,39,3,8,17,34;35;36;37;38;39;40;41,4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675,1,2,32,387
PYO_27,pyov_40,40,3,8,17,34;35;36;37;38;39;40;41,4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675,1,1,32,387
PYO_28,pyov_41,41,3,8,17,34;35;36;37;38;39;40;41,4659;4660;4661;4662;4663;4664;4665;4666;4667;4668;4669;4670;4671;4672;4673;4674;4675,8,148,32,387
PYO_29,pyov_42,42,26,1,1,42,5754,2,12,3,15
PYO_30,pyov_51,51,16,2,1,51;52,1421,4,101,6,103
PYO_31,pyov_52,52,16,2,1,51;52,1421,1,1,6,103
PYO_32,pyov_53,53,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,11,61,272
PYO_33,pyov_54,54,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,12,61,272
PYO_34,pyov_55,55,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,2,61,272
PYO_35,pyov_56,56,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,3,61,272
PYO_36,pyov_57,57,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,1,61,272
PYO_37,pyov_58,58,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,1,61,272
