pyo_id,original_pyov_id,rec_groups,rec_group
PYO_01,6,222,222
PYO_02,7,222,222
PYO_03,8,222,222
PYO_04,10,4727;4728;4729;4730;4731;4732;4733,4727
PYO_04,10,4727;4728;4729;4730;4731;4732;4733,4728
PYO_04,10,4727;4728;4729;4730;4731;4732;4733,4729
PYO_04,10,4727;4728;4729;4730;4731;4732;4733,4730
PYO_04,10,4727;4728;4729;4730;4731;4732;4733,4731
PYO_04,10,4727;4728;4729;4730;4731;4732;4733,4732
PYO_04,10,4727;4728;4729;4730;4731;4732;4733,4733
PYO_05,11,4727;4728;4729;4730;4731;4732;4733,4727
PYO_05,11,4727;4728;4729;4730;4731;4732;4733,4728
PYO_05,11,4727;4728;4729;4730;4731;4732;4733,4729
PYO_05,11,4727;4728;4729;4730;4731;4732;4733,4730
PYO_05,11,4727;4728;4729;4730;4731;4732;4733,4731
PYO_05,11,4727;4728;4729;4730;4731;4732;4733,4732
PYO_05,11,4727;4728;4729;4730;4731;4732;4733,4733
PYO_06,12,4405;4406;4407;4408,4405
PYO_06,12,4405;4406;4407;4408,4406
PYO_06,12,4405;4406;4407;4408,4407
PYO_06,12,4405;4406;4407;4408,4408
PYO_07,13,4405;4406;4407;4408,4405
PYO_07,13,4405;4406;4407;4408,4406
PYO_07,13,4405;4406;4407;4408,4407
PYO_07,13,4405;4406;4407;4408,4408
PYO_08,14,4405;4406;4407;4408,4405
PYO_08,14,4405;4406;4407;4408,4406
PYO_08,14,4405;4406;4407;4408,4407
PYO_08,14,4405;4406;4407;4408,4408
PYO_09,16,5460;5461;5462,5460
PYO_09,16,5460;5461;5462,5461
PYO_09,16,5460;5461;5462,5462
PYO_10,17,5460;5461;5462,5460
PYO_10,17,5460;5461;5462,5461
PYO_10,17,5460;5461;5462,5462
PYO_11,18,5460;5461;5462,5460
PYO_11,18,5460;5461;5462,5461
PYO_11,18,5460;5461;5462,5462
PYO_12,22,5421;5422;5423;5424;5425;5426;5427;5428,5421
PYO_12,22,5421;5422;5423;5424;5425;5426;5427;5428,5422
PYO_12,22,5421;5422;5423;5424;5425;5426;5427;5428,5423
PYO_12,22,5421;5422;5423;5424;5425;5426;5427;5428,5424
PYO_12,22,5421;5422;5423;5424;5425;5426;5427;5428,5425
PYO_12,22,5421;5422;5423;5424;5425;5426;5427;5428,5426
PYO_12,22,5421;5422;5423;5424;5425;5426;5427;5428,5427
PYO_12,22,5421;5422;5423;5424;5425;5426;5427;5428,5428
PYO_13,23,5421;5422;5423;5424;5425;5426;5427;5428,5421
PYO_13,23,5421;5422;5423;5424;5425;5426;5427;5428,5422
PYO_13,23,5421;5422;5423;5424;5425;5426;5427;5428,5423
PYO_13,23,5421;5422;5423;5424;5425;5426;5427;5428,5424
PYO_13,23,5421;5422;5423;5424;5425;5426;5427;5428,5425
PYO_13,23,5421;5422;5423;5424;5425;5426;5427;5428,5426
PYO_13,23,5421;5422;5423;5424;5425;5426;5427;5428,5427
PYO_13,23,5421;5422;5423;5424;5425;5426;5427;5428,5428
PYO_14,27,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,878
PYO_14,27,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,879
PYO_14,27,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,880
PYO_14,27,878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906,881
