"prefix10","count"
"GCF_001987",50
"GCF_001985",49
"GCF_001986",48
"GCF_001988",47
"GCF_004635",45
"GCF_004636",40
"GCF_009626",40
"GCF_004009",38
"GCF_001605",32
"GCF_004634",21
"GCF_004008",19
"GCF_001989",17
"GCF_002859",17
"GCF_002286",14
"GCF_004637",13
"GCF_001686",12
"GCF_009625",12
"GCF_001307",11
"GCF_009627",11
"GCF_022409",11
"GCF_004007",10
"GCF_022407",10
"GCF_002442",9
"GCF_003186",9
"GCF_900465",9
"GCF_002892",6
"GCF_900327",5
"GCF_001831",4
"GCF_001984",4
"GCF_003355",4
"GCF_004006",4
"GCF_022406",4
"GCF_000195",3
"GCF_002240",3
"GCF_002285",3
"GCF_003991",3
"GCF_016904",3
"GCF_020735",3
"GCF_000193",2
"GCF_000317",2
"GCF_001509",2
"GCF_001687",2
"GCF_001704",2
"GCF_002068",2
"GCF_012974",2
"GCF_016903",2
"GCF_017357",2
"GCF_022404",2
"GCF_900475",2
"GCF_900636",2
"GCF_000212",1
"GCF_000306",1
"GCF_000318",1
"GCF_000812",1
"GCF_000829",1
"GCF_001013",1
"GCF_001559",1
"GCF_001628",1
"GCF_002018",1
"GCF_002021",1
"GCF_002069",1
"GCF_002310",1
"GCF_003184",1
"GCF_003431",1
"GCF_003443",1
"GCF_003855",1
"GCF_003860",1
"GCF_004323",1
"GCF_004771",1
"GCF_004794",1
"GCF_008330",1
"GCF_008693",1
"GCF_016804",1
"GCF_019974",1
"GCF_020736",1
"GCF_022408",1
"GCF_023612",1
"GCF_026001",1
"GCF_900186",1
"GCF_900187",1
"GCF_900637",1
"GCF_901472",1
"GCF_901482",1
