"node_id","node_type","module_id"
"FG_001","FG",2
"FG_002","FG",2
"FG_003","FG",4
"FG_004","FG",4
"FG_005","FG",2
"FG_006","FG",2
"FG_007","FG",2
"FG_008","FG",4
"FG_009","FG",3
"FG_010","FG",6
"FG_011","FG",7
"FG_012","FG",3
"FG_013","FG",5
"FG_014","FG",5
"FG_015","FG",3
"FG_016","FG",5
"FG_017","FG",5
"FG_018","FG",2
"FG_019","FG",8
"FG_020","FG",3
"FG_021","FG",2
"FG_022","FG",5
"FG_023","FG",3
"FG_024","FG",3
"FG_025","FG",3
"FG_026","FG",3
"FG_027","FG",3
"FG_028","FG",3
"FG_029","FG",4
"FG_030","FG",4
"FG_031","FG",4
"FG_032","FG",6
"FG_033","FG",5
"FG_034","FG",2
"FG_035","FG",3
"FG_036","FG",7
"FG_037","FG",4
"FG_038","FG",7
"FG_039","FG",7
"FG_040","FG",2
"FG_041","FG",7
"FG_042","FG",2
"FG_043","FG",7
"FG_044","FG",2
"FG_045","FG",6
"FG_046","FG",3
"FG_047","FG",3
"FG_048","FG",2
"FG_049","FG",6
"FG_050","FG",2
"FG_051","FG",3
"FG_052","FG",5
"FG_053","FG",3
"FG_054","FG",3
"FG_055","FG",7
"FG_056","FG",7
"FG_057","FG",7
"FG_058","FG",3
"FG_059","FG",6
"FG_060","FG",7
"FG_061","FG",7
"FG_062","FG",4
"FG_063","FG",7
"FG_064","FG",7
"FG_065","FG",7
"FG_066","FG",7
"FG_067","FG",7
"FG_068","FG",7
"FG_069","FG",4
"FG_071","FG",5
"FG_072","FG",7
"FG_073","FG",4
"FG_074","FG",4
"FG_075","FG",3
"FG_076","FG",4
"FG_077","FG",2
"FG_078","FG",3
"FG_079","FG",4
"FG_080","FG",4
"FG_081","FG",2
"FG_082","FG",4
"FG_083","FG",6
"FG_084","FG",2
"FG_085","FG",2
"FG_086","FG",2
"FG_087","FG",2
"FG_088","FG",3
"FG_089","FG",2
"FG_090","FG",2
"FG_091","FG",8
"FG_092","FG",7
"FG_093","FG",3
"FG_094","FG",3
"FG_095","FG",3
"FG_096","FG",3
"FG_097","FG",3
"FG_098","FG",3
"FG_099","FG",3
"FG_100","FG",3
"FG_101","FG",3
"FG_102","FG",3
"FG_103","FG",3
"FG_104","FG",8
"FG_105","FG",7
"FG_106","FG",4
"FG_107","FG",3
"FG_108","FG",3
"FG_109","FG",3
"FG_110","FG",2
"FG_111","FG",2
"FG_112","FG",8
"FG_113","FG",8
"FG_114","FG",8
"FG_115","FG",3
"FG_116","FG",4
"FG_117","FG",2
"FG_118","FG",8
"FG_119","FG",8
"FG_120","FG",7
"FG_121","FG",4
"FG_122","FG",3
"FG_123","FG",3
"FG_124","FG",8
"FG_125","FG",4
"FG_126","FG",4
"FG_127","FG",4
"FG_128","FG",3
"FG_129","FG",4
"FG_130","FG",4
"FG_132","FG",4
"FG_134","FG",2
"FG_135","FG",3
"FG_136","FG",5
"FG_137","FG",4
"FG_138","FG",4
"FG_139","FG",4
"FG_140","FG",4
"FG_141","FG",3
"FG_142","FG",3
"FG_143","FG",3
"FG_144","FG",4
"FG_145","FG",4
"FG_146","FG",2
"FG_147","FG",8
"FG_148","FG",8
"FG_149","FG",4
"FG_150","FG",4
"FG_151","FG",4
"FG_152","FG",4
"FG_153","FG",4
"FG_154","FG",2
"FG_155","FG",8
"FG_156","FG",4
"FG_157","FG",4
"FG_158","FG",4
"FG_159","FG",4
"FG_160","FG",4
"FG_161","FG",3
"FG_162","FG",4
"FG_163","FG",2
"FG_164","FG",3
"FG_165","FG",2
"FG_166","FG",3
"FG_168","FG",3
"FG_169","FG",4
"FG_170","FG",3
"FG_171","FG",3
"FG_172","FG",2
"FG_173","FG",4
"FG_174","FG",2
"FG_175","FG",2
"FG_176","FG",4
"FG_177","FG",2
"PYO_01","PYOV",2
"PYO_02","PYOV",2
"PYO_03","PYOV",2
"PYO_04","PYOV",2
"PYO_05","PYOV",3
"PYO_06","PYOV",8
"PYO_07","PYOV",8
"PYO_08","PYOV",8
"PYO_09","PYOV",4
"PYO_10","PYOV",7
"PYO_11","PYOV",7
"PYO_12","PYOV",3
"PYO_13","PYOV",3
"PYO_14","PYOV",3
"PYO_15","PYOV",3
